Blog	web	lol	ryan	de	band	album	jesus	mommy	grant	haha	christ	hannah	data	daddy	lord	pics	james	tour	social	digital	mix	students	china	records	library	thankful	site	english	chinese	pray	damn	record	language	club	content	bus	elder	charlie	war	africa	pages	research	session	darling	search	conference	facebook	omg	difficult	mentioned	released	till	writes	radio	recent	hell	disease	trust	george	bill	review	google	current	grandma	members	president	michael	dj	author	wanna	study	dr	hehe	release	community	sold	color	gifts	davis	design	eventually	technology	suppose	report	university	national	apartment	article	presented	restaurant	honestly	french	challenge	youtube	character	scott	guitar	america	santa	file	previous	west	culture	easter	folks	miles	media	bike	annie	goal	yard	collection	station	issues	copy	south	el	police	sharing	blogs	similar	surgery	blessed	prayer	presentation	aunt	grace	program	software	mama	dont	heat	truck	film	hip	singapore	mood	king	results	training	lights	mail	image	dogs	babies	response	award	hop	machine	government	states	performance	david	flight	action	sea	sale	mission	grateful	bear	speaking	kate	scene	shit	tracks	families	brothers	october	built	crowd	im	links	blogspot	allowed	projects	interest	health	pic	tea	details	race	thanksgiving	concert	practice	camp	issue	purpose	tim	suddenly	events	writer	ball	ha	september	bags	success	candy	build	dropped	crying	york	images	halloween	cheese	common	gorgeous	result	hubby	tickets	ah	figured	malaysia	van	reminded	african	dave	comfortable	san	inspired	literally	million	items	society	org	gotta	river	yummy	football	drew	cross	popular	london	favourite	musical	north	flowers	named	painting	chris	bathroom	]	wide	cost	vacation	paint	expected	resources	nap	points	hall	forgotten	activities	november	source	airport	path	asleep	hearing	holy	huh	mad	comfort	shared	mountain	text	secret	covered	meal	progress	winner	bands	board	access	mess	possibly	shots	january	routine	fully	strength	continued	dan	originally	katie	christian	science	hadn	videos	slightly	reach	include	joined	delicious	lazy	describe	credit	chase	fat	changing	freedom	feelings	falling	lines	chose	accept	provide	checked	teaching	taught	skin	block	discovered	empty	pre	characters	island	kit	slept	classes	buying	visited	label	adventure	studio	jack	notes	tag	hahaha	cd	blast	related	lake	worried	blame	closed	barely	attended	legs	zone	crew	knowledge	quote	html	hill	member	lessons	sigh	teeth	application	manage	marriage	happiness	code	natural	glass	fashion	push	prepared	papers	prayers	extremely	lesson	background	pants	positive	ladies	los	festival	broke	checking	doubt	angry	east	hearts	letters	tend	steps	gold	attempt	rich	effect	thinks	twitter	couch	direction	desire	fans	student	swimming	beer	losing	chair	product	robert	seconds	handle	rules	subject	grade	readers	recorded	sugar	tom	presents	force	grand	friendly	storm	included	teach	schedule	jazz	term	fingers	visiting	joe	audience	returned	scary	oil	goodness	development	press	united	hungry	cousin	agree	county	political	animals	lie	wet	milk	uncle	respect	model	feed	driver	sight	cookies	artist	career	incredible	official	em	ends	passion	pack	mum	classic	shoot	topic	ma	material	hero	tools	traditional	attend	recipe	eve	familiar	bruce	grandpa	ft	cleaning	photography	shouldn	grab	farm	dry	position	fix	stars	department	key	fuck	bath	ass	ben	greatest	plenty	bread	contest	heading	para	dressed	sex	screen	february	lyrics	singer	pair	garage	soft	awhile	answers	laptop	rare	celebration	hmm
Trail Running in Hong Kong and beyond	4	1	0	79	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1	1	11	0	0	0	26	13	40	0	0	1	7	4	1	27	1	0	1	0	3	2	2	0	10	1	0	0	18	6	1	13	3	1	1	2	0	2	0	2	1	39	14	0	0	3	0	2	1	0	0	0	0	0	3	7	0	3	0	4	0	0	0	1	2	3	16	3	0	8	0	1	1	1	0	0	0	2	2	1	1	8	1	0	2	2	1	7	0	4	0	0	26	3	0	3	0	3	3	10	11	0	1	0	1	0	0	2	1	0	0	16	5	9	1	209	3	3	3	1	6	4	0	0	1	2	0	2	7	7	1	0	0	8	11	8	5	0	0	0	3	0	4	0	0	2	5	3	0	5	0	17	11	6	2	2	8	0	1	3	15	0	1	0	0	1	1	5	14	2	6	2	0	7	4	1	0	4	1	0	7	0	0	0	7	0	2	0	4	2	1	3	50	4	0	0	1	1	5	2	4	4	2	32	0	1	0	9	0	3	6	4	0	0	6	1	0	0	0	0	0	3	11	0	0	11	0	0	1	1	1	3	5	7	10	5	2	2	2	1	1	1	2	10	4	0	10	2	1	0	0	5	1	1	0	0	1	1	4	1	0	23	6	1	0	0	0	1	7	4	1	7	0	2	7	2	1	6	2	0	0	2	17	1	5	0	6	0	1	2	2	2	14	0	0	15	0	0	1	3	10	0	5	0	2	3	0	0	1	0	6	0	1	2	10	1	0	2	0	0	7	4	10	12	1	1	0	1	1	4	1	0	2	5	2	0	3	23	3	0	1	11	4	0	3	5	0	0	2	7	2	1	15	0	5	2	7	2	0	4	2	1	2	2	11	1	1	1	3	11	4	2	0	0	2	1	2	7	0	9	2	2	0	0	3	2	13	1	1	0	3	1	1	0	3	0	0	1	7	1	0	2	5	1	3	0	2	0	2	0	0	6	0	0	4	0	3	7	4	0	1	3	3	6	0	2	2	2	0	1	4	1	4	0	1	0	4	1	0	1	1	0	0	0	3	0	3	0	0	7	5	1	0	4	3	0	1	1	9	2	2	0	0	0	0	3	0	7	2	0	0	1	0	2	0	0	11	2	0	3
I'm Still Me, Just Better.	1	0	1	0	4	1	0	1	0	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	4	3	0	0	0	0	0	1	0	0	0	6	0	9	0	0	2	3	0	0	10	0	1	0	2	0	0	0	0	0	2	1	2	1	0	10	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	1	12	4	0	0	0	0	0	0	1	0	2	0	0	0	1	4	0	1	1	0	0	0	1	1	0	0	0	3	0	0	6	1	0	2	4	1	0	0	1	0	0	0	6	0	0	0	0	2	0	16	0	1	0	0	1	3	8	0	2	0	1	0	7	0	8	0	0	0	5	1	0	0	3	4	0	0	0	2	2	0	3	0	37	1	2	0	0	0	1	1	1	0	3	0	4	1	7	3	0	1	4	1	5	1	0	3	1	0	0	0	3	0	0	0	0	1	0	3	0	0	3	4	0	1	1	1	0	1	3	2	3	5	1	0	4	0	1	1	0	0	3	0	0	0	2	0	5	0	2	0	4	0	5	0	0	0	0	0	1	26	1	9	2	4	0	0	3	3	25	2	0	1	0	1	1	0	1	15	0	11	0	0	0	0	2	0	4	1	0	1	1	0	1	0	0	2	0	8	0	0	1	1	1	12	0	0	100	0	0	1	2	0	0	0	1	1	5	3	1	2	0	0	2	4	2	0	2	4	8	0	0	0	4	2	1	3	2	3	1	2	1	1	1	5	0	2	1	8	1	0	0	0	1	1	0	1	4	0	4	0	0	1	0	1	0	0	1	0	2	2	0	0	0	0	0	6	0	3	5	1	1	0	7	0	0	0	2	2	4	0	0	0	0	0	7	2	0	2	1	0	2	0	0	0	2	0	0	2	4	0	1	0	0	1	2	8	1	0	1	0	1	1	0	0	0	7	81	1	1	2	0	4	3	5	1	0	0	0	1	1	0	1	5	0	4	1	0	0	2	2	2	5	0	1	1	4	2	7	0	0	0	1	4	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	6	0	2	0	3	0	3	0	3	2	4	0	1	2	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	7	1	0	3	5	0	4	0	4	3	0
Web Science and Digital Libraries Research Group	1024	0	3	61	11	0	0	1	16	0	0	0	663	0	0	0	14	8	158	482	8	93	2	43	234	0	119	18	3	0	1	30	75	2	328	4	0	0	9	3	227	291	249	0	175	243	78	0	23	58	38	4	3	12	55	0	0	8	32	10	36	155	112	0	60	15	206	0	36	1	83	123	0	36	70	2	24	1	1	37	11	53	2	122	231	84	3	74	330	8	0	7	27	33	9	43	1	5	6	114	46	5	15	2	3	3	120	1	0	39	0	124	8	40	50	2	2	11	32	13	43	3	1	0	264	2	14	68	61	0	0	4	0	1	0	3	7	1	106	20	1	14	84	1	0	91	36	0	100	33	26	59	45	4	9	24	1	15	7	0	5	11	0	0	5	2	0	24	27	37	0	96	7	21	94	35	13	4	1	43	6	1	0	23	15	26	17	10	1	37	1	6	2	27	2	14	3	36	5	0	19	90	2	1	25	0	42	0	1	7	2	0	37	8	2	2	2	48	18	0	24	11	18	169	0	3	1	15	2	14	32	14	0	2	18	2	13	1	6	0	60	23	20	0	0	17	190	2	26	4	5	25	24	81	9	40	1	25	0	2	0	0	35	1	117	5	29	0	17	29	0	5	171	1	9	1	20	0	10	16	36	5	12	3	4	95	2	52	9	15	43	7	19	0	23	1	1	2	15	4	6	0	7	14	96	74	6	13	19	0	2	26	0	20	4	3	3	0	35	1	5	31	5	3	3	18	42	0	21	1	74	4	1	5	12	2	111	0	0	1	38	9	110	6	21	6	0	0	111	11	3	3	75	12	4	4	5	11	74	0	11	1	12	0	13	2	15	1	7	9	2	2	3	0	7	6	11	6	20	16	24	3	92	0	11	2	15	37	1	0	15	14	22	21	23	28	9	15	1	8	18	0	4	8	8	4	6	4	45	1	21	0	48	1	7	0	44	31	0	0	1	62	22	13	0	0	3	0	6	0	3	0	0	3	14	92	9	3	2	1	2	42	6	7	1	2	7	1	0	7	0	64	3	21	0	137	16	57	0	0	18	1	0	2	2	2	4	7	0	1	20	2	0	25	18	0	0	0	12	1	0	2	2	2	0	0	3	30	18	0	0	6	2	7	0	4	1	1	9	0
Soul's Expression	5	0	0	1	0	1	43	1	3	1	35	17	1	2	106	0	8	1	5	3	7	17	5	0	2	19	9	3	1	25	1	1	2	7	3	0	2	4	8	1	6	2	2	3	5	10	10	0	26	14	7	2	3	3	3	2	2	28	2	6	13	12	8	10	3	3	6	0	12	2	8	17	0	1	4	5	1	17	5	6	8	0	12	0	5	8	11	24	3	1	4	12	4	3	13	0	1	5	1	6	5	9	6	14	0	10	2	1	1	2	2	2	0	4	12	9	1	0	9	18	6	14	8	12	1	8	26	8	2	5	0	4	0	6	0	0	5	3	4	6	11	2	8	9	11	23	1	0	0	0	12	6	15	10	3	6	3	1	8	2	7	10	8	0	1	4	6	5	5	2	0	0	3	6	3	4	6	0	4	2	1	11	2	5	1	7	4	0	1	7	3	4	12	11	1	4	4	4	5	11	6	4	0	6	9	1	5	4	0	5	11	1	0	15	0	4	3	5	1	8	10	5	2	3	7	0	2	4	2	13	5	0	0	1	7	3	6	0	4	3	5	3	5	9	0	4	1	5	5	6	2	0	6	2	6	7	5	8	21	2	7	8	9	13	6	4	0	4	1	2	0	4	4	11	7	4	6	5	2	9	1	3	7	2	38	1	7	2	6	2	0	1	0	3	1	10	1	4	4	1	10	4	3	8	4	4	7	5	9	0	1	3	2	2	6	4	0	9	18	12	4	3	1	0	14	9	9	0	19	1	3	0	0	2	3	1	0	0	2	1	8	67	1	5	2	7	4	3	6	1	36	9	3	3	4	6	4	7	6	5	3	7	6	3	9	4	1	0	9	5	6	20	1	5	3	7	2	0	1	3	5	14	0	0	5	12	3	5	1	6	2	3	1	1	10	3	3	7	10	3	2	1	2	0	3	1	0	12	5	7	10	0	2	3	3	1	1	10	6	1	12	2	2	7	6	8	7	0	3	4	19	1	15	1	5	2	6	2	3	5	21	2	6	3	10	3	2	9	0	2	2	3	1	0	0	1	1	4	2	6	5	3	16	0	7	1	9	2	1	6	4	2	4	4	1	0	0	3	10	3	3	3	1	4	0	2	9	1	3	6	1	2	0	3	0	5	1	1	2	2
the mar farr	2	19	0	1	1	2	4	6	0	13	5	0	0	15	0	36	0	1	0	0	5	4	1	1	1	1	0	0	0	0	0	6	1	1	0	4	1	0	2	1	0	1	0	0	0	1	5	0	1	6	0	1	0	0	0	0	0	2	6	0	0	0	0	17	3	2	3	0	0	7	1	11	0	1	1	3	2	9	0	2	0	0	0	0	0	0	0	0	1	1	7	4	1	1	1	0	5	0	15	0	3	1	0	22	0	4	0	3	1	1	6	3	0	0	2	1	0	0	3	2	4	1	10	0	1	8	0	0	0	1	0	7	6	0	0	0	0	1	5	1	4	3	2	0	8	0	2	0	0	1	1	2	1	0	0	4	1	7	12	3	2	0	3	0	1	2	1	1	1	1	0	1	1	0	4	1	0	9	0	5	0	12	6	1	1	0	0	0	7	1	0	1	14	2	6	1	2	0	3	6	0	0	8	18	0	0	0	6	3	6	5	0	1	0	0	1	4	0	0	3	1	0	0	2	11	1	5	1	212	5	0	1	0	1	3	2	3	3	0	8	0	5	4	1	1	2	0	1	0	5	1	0	2	0	2	1	18	4	3	8	3	3	0	8	1	8	2	2	0	0	0	1	0	7	3	2	6	3	2	0	4	0	3	0	0	0	9	3	3	0	2	1	5	1	2	1	0	4	4	0	9	1	2	2	1	0	1	6	6	1	1	0	3	1	0	0	0	6	0	1	11	0	1	3	1	3	1	5	4	3	2	1	11	3	3	12	0	7	0	1	1	2	0	1	1	7	3	33	0	0	2	2	0	1	0	0	1	3	0	4	5	1	3	2	2	0	0	0	5	1	1	0	1	2	3	0	0	5	1	0	0	2	0	7	0	1	1	2	5	1	3	9	0	0	9	3	0	0	3	0	1	12	0	3	0	4	1	9	3	3	1	0	3	6	2	0	0	0	4	4	5	0	2	0	0	10	3	0	1	0	2	2	8	10	1	0	0	4	0	17	0	1	7	0	5	0	0	2	0	0	7	2	2	0	3	0	1	0	12	5	3	2	5	0	9	4	2	0	0	0	1	5	2	0	1	0	3	0	5	0	3	6	1	2	0	5	0	0	2	0	0	3	2	4	0	4	2	4	2	2
BabyNeely	0	0	0	0	1	0	19	3	0	0	47	0	0	3	13	88	1	0	0	0	1	17	2	0	0	43	1	0	1	38	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	6	6	0	5	2	0	9	0	0	0	1	0	4	0	4	1	0	4	0	2	1	1	0	0	0	2	2	0	0	8	0	1	5	346	1	4	1	1	0	1	0	1	2	0	3	8	0	19	2	3	4	1	3	27	1	4	2	0	15	9	2	0	0	138	18	28	0	1	1	0	1	0	0	5	1	3	1	2	1	0	6	15	2	0	0	0	2	1	0	0	0	0	0	0	4	3	1	0	6	8	0	1	0	1	1	1	0	3	1	1	3	3	4	3	2	4	0	2	0	0	8	0	3	1	1	0	1	0	0	2	0	12	16	0	1	2	18	0	1	9	0	1	1	0	1	0	1	0	0	0	1	4	0	0	12	0	0	6	4	1	0	1	0	0	0	1	0	4	1	0	3	5	1	0	6	1	0	0	0	0	0	0	5	0	2	1	0	0	0	3	3	2	2	11	2	0	2	1	4	2	0	0	5	0	2	6	0	5	0	0	1	3	1	2	1	4	1	1	1	3	1	1	6	1	0	0	1	0	1	1	1	2	2	3	3	7	1	1	214	5	0	2	5	0	3	0	0	4	2	0	1	2	7	4	1	0	3	1	2	1	1	1	7	2	1	2	0	3	1	0	1	0	5	1	3	2	0	1	0	1	0	0	0	5	0	1	6	0	1	0	0	1	4	3	0	1	0	1	2	0	0	0	1	0	1	19	1	1	2	3	0	2	1	0	2	1	0	1	2	0	10	0	0	0	4	5	0	0	5	1	0	5	3	2	0	0	10	12	7	0	2	0	0	5	0	1	1	1	0	1	2	0	1	0	2	1	1	2	5	1	0	1	0	2	9	8	1	1	5	1	0	0	3	0	1	1	7	2	0	1	5	2	0	2	8	5	0	2	0	0	0	0	0	0	2	0	0	14	1	1	0	4	0	0	4	4	0	1	2	0	1	2	0	1	6	0	0	0	0	0	0	2	0	1	1	4	0	2	0	2	0	11	0	0	5	9	2	1	8	0	0	4	1	2	0	0	4	0	0	1	1	1	1	0	0
Diary Of A Podgypoof	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	3	0	0	1	1	0	0	9	0	0	1	0	0	2	0	0	0	0	0	1	0	4	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	3	1	1	0	1	0	0	0	0	1	3	0	1	0	1	1	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	1	0	8	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	2	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	2	1	5	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	2	1	0	1	0	0	2	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	8	0	0	0	0	1	0	0	3	0	1	0	0	1	0	0	3	10	0	0	0	0	0	0	0	0	1	4	2	0	0	1	0	0	0	0	0	0	0	8	0	1	0	13	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Baby Jane	1	232	0	0	8	3	2	2	0	135	1	0	0	12	13	23	6	0	1	1	1	2	2	0	1	1	0	3	3	14	99	3	2	2	0	3	0	1	0	1	1	1	1	5	2	0	12	413	1	0	0	35	0	1	0	30	4	22	0	2	1	8	1	8	8	1	3	3	0	76	27	3	4	8	2	2	0	0	0	4	0	5	41	7	8	0	0	0	0	5	23	2	1	0	8	1	0	0	0	0	4	2	0	5	0	1	4	0	0	2	0	0	1	6	0	2	0	4	0	4	1	1	1	0	9	6	3	2	0	2	212	1	1	0	1	1	7	4	4	0	3	1	3	1	2	2	2	3	4	0	3	1	2	2	9	3	12	0	0	3	1	0	3	32	0	2	4	3	3	0	3	0	1	2	2	3	2	7	9	1	8	0	3	8	3	3	13	122	15	2	1	1	0	2	2	3	0	5	4	3	0	0	0	4	3	3	1	0	1	13	0	7	3	0	0	0	3	1	2	8	1	2	1	0	31	0	6	1	2	3	0	1	23	4	0	0	1	0	0	1	0	4	1	0	1	1	0	0	3	7	5	1	2	0	2	6	9	1	4	12	4	2	7	3	1	5	3	2	0	0	0	2	2	3	2	0	2	0	3	9	5	1	0	0	0	1	0	0	2	2	0	4	3	12	6	0	3	38	11	5	10	7	1	5	8	1	3	2	0	1	0	2	5	4	2	2	0	13	4	5	3	0	0	0	2	3	3	43	2	8	2	0	1	5	1	7	1	1	0	0	2	10	1	1	3	4	31	2	0	3	2	6	0	1	2	1	5	2	2	1	2	0	0	4	10	11	0	1	3	2	2	6	0	8	3	4	3	0	0	3	3	7	1	7	2	4	1	4	9	0	12	2	1	5	6	6	2	5	0	1	1	4	2	4	3	2	4	4	0	3	2	0	1	5	1	10	2	1	11	0	15	0	3	0	6	8	3	0	0	1	6	0	2	4	0	2	3	4	2	2	2	0	0	1	12	6	0	0	0	5	8	1	3	0	3	0	0	1	2	2	6	0	1	0	1	1	1	1	2	2	3	4	6	1	8	5	0	29	0	3	10	0	0	3	0	1	5	3	3	12	1	2	0	4	12	0	8	0	7	25
HEAVYSPITTERS	0	1	7	0	1	78	2	0	4	0	0	0	0	1	0	0	3	12	0	0	0	0	0	88	0	0	3	0	1	0	0	8	0	15	0	2	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	5	15	0	0	0	1	0	15	0	151	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	1	0	1	0	29	0	0	0	0	1	2	0	0	1	1	0	0	0	3	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	30	0	0	1	0	0	0	0	1	0	0	1	0	30	4	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	2	0	0	42	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	11	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	6	0	5	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	6	3	0	14	0	0	1	16	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	23	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	7	0	0	0	3	0	0	1	0	0	0	69	1	0	0	0	0	0	1	2	0
Real Rach	0	143	0	3	1	7	0	4	0	0	0	0	0	5	0	28	0	1	0	7	7	9	0	0	2	5	6	0	0	12	0	1	2	3	0	1	0	0	0	0	11	1	1	0	1	2	5	3	1	0	12	0	0	0	1	3	1	5	0	3	0	0	5	12	3	2	4	0	0	16	2	3	0	5	3	5	15	10	0	5	0	0	4	5	0	8	1	4	0	2	2	0	33	0	2	0	0	0	7	0	1	4	0	2	14	3	0	3	0	21	3	6	1	16	0	0	0	0	3	2	2	14	5	2	1	14	0	2	0	0	1	1	0	0	0	0	5	2	2	0	1	3	5	1	0	0	2	0	1	0	0	0	1	3	2	2	44	4	1	0	1	2	1	0	1	2	1	2	1	0	1	3	17	4	3	1	2	2	0	5	4	3	2	1	7	4	0	1	0	4	0	4	0	1	3	9	2	1	4	3	0	3	12	0	1	4	2	3	1	1	3	0	2	2	0	0	1	2	0	11	0	7	1	2	22	0	3	19	3	3	0	0	0	0	2	4	3	0	3	1	0	3	5	7	3	1	1	0	4	3	1	0	3	0	2	1	1	3	6	17	4	4	7	0	0	9	3	2	5	9	0	5	1	2	3	0	2	0	1	0	2	0	1	0	0	4	3	0	0	3	1	2	0	5	1	2	0	7	2	0	4	2	0	1	0	1	3	1	1	1	1	0	0	1	0	1	211	1	1	7	1	1	5	2	0	1	2	7	3	7	3	1	6	2	1	2	0	2	3	5	2	3	1	1	2	0	0	5	0	3	1	2	2	1	0	4	2	1	12	6	11	0	3	5	3	8	0	3	4	1	3	1	0	0	3	1	2	0	4	0	2	1	0	3	4	2	7	2	1	0	7	1	2	0	1	1	0	0	6	0	0	2	1	0	1	1	0	2	3	1	12	0	0	1	1	2	0	1	2	0	4	0	0	0	0	16	0	1	0	6	2	2	0	0	0	0	1	2	0	1	0	0	2	4	3	0	3	2	1	1	4	3	0	0	2	0	2	2	0	0	0	0	2	0	2	4	4	12	2	3	0	5	0	0	4	0	0	0	0	0	1	0	21	5	0	1	1	1	0	0	0	4	7	8	9	0	3	1	3	9
The Adventures of Scott, Jessica, Addy Bear and Little Charlie	0	0	0	0	5	0	0	29	0	0	0	0	0	51	0	38	1	0	3	0	7	1	2	2	4	25	0	0	0	4	1	3	0	1	2	0	0	33	1	0	2	1	4	4	1	2	0	0	6	8	0	0	0	2	5	0	0	0	5	6	1	1	2	53	2	2	4	0	0	0	1	1	0	0	4	2	12	25	0	3	1	0	1	3	0	1	0	0	0	3	5	1	9	3	9	189	5	1	18	0	0	0	0	28	5	2	1	7	1	8	22	2	4	8	0	2	0	0	21	0	3	3	31	3	1	2	1	3	0	6	0	6	7	1	1	0	1	0	5	7	21	4	0	11	10	0	2	1	8	0	0	3	0	2	8	4	8	4	3	40	1	0	4	0	1	10	3	3	3	2	0	0	0	3	16	6	9	9	16	3	2	11	14	6	1	5	4	1	0	7	0	12	3	11	4	8	12	4	4	5	0	0	18	13	3	2	3	0	4	0	3	0	2	5	0	0	8	5	3	12	2	4	0	0	20	7	14	11	4	2	2	0	0	1	1	14	3	6	11	5	0	2	1	12	10	5	0	16	5	3	1	17	6	3	3	4	6	3	1	6	7	3	9	8	1	4	6	1	7	2	1	3	0	8	1	40	4	2	5	0	4	1	2	3	0	7	3	9	1	2	7	4	4	1	2	1	4	2	10	3	1	15	7	1	3	2	2	0	2	1	2	1	7	6	14	3	0	1	4	3	7	1	22	0	0	5	5	0	1	28	2	3	12	0	12	11	0	3	3	3	2	3	0	4	0	13	11	8	0	1	2	0	0	2	0	3	9	7	0	1	2	2	2	15	4	7	0	2	8	14	1	3	0	3	3	3	6	3	17	4	1	8	0	12	6	0	6	0	2	3	1	17	5	0	4	7	2	3	3	0	1	5	1	8	2	7	4	15	6	1	4	1	3	3	7	4	2	3	9	1	14	3	1	0	1	4	4	0	0	15	1	10	6	4	0	5	8	1	6	17	5	1	0	2	1	3	4	8	0	6	2	5	0	4	5	1	9	2	9	7	2	0	42	1	6	4	1	1	4	5	3	2	2	5	3	0	13	0	0	3	3	2	2	3	0	23	0	2	1	0	1	5	3	9	0	6	1	1	11	0
Photography by bomobob	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	1	0	0	0	0	0	1	6	0	0	0	1	0	0	0	1	1	0	1	4	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	2	1	1	0	0	0	0	1	1	1	3	0	1	0	1	0	0	0	0	2	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	2	0	0	3	0	0	0	5	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
